High Knees,""Full Body", "Core"",Body Weight
Butt Kickers,""Legs"",Body Weight
Side Lunge,""Legs"","Body Weight, Dumbbells"
Bulgarian Split Squat,""Legs"","Bar, Dumbbells"
Squat,""Legs"","Bar, Dumbbells, Body Weight, Squat Rack, Band"
Sumo Squat,""Legs"","Bar, Dumbbells, Body Weight"
Row,""Back"","Bar, Dumbbells, Landmine"
Bicep Curl,""Arms"","Bar, Dumbbells, Cable"
Arnold Press,""Arms"", "Dumbbells"
Tricep Dip,""Arms"", "Body Weight"
Tricep Kick-Back,""Arms""," Dumbbells"
Plank,""Full Body", "Core"", "Body Weight"
Side Plank,""Full Body", "Core"", "Body Weight"
Military Plank,""Full Body", "Arms"", "Body Weight"
Jumping Jacks,""Full Body"", "Body Weight"
Calf Raise,""Legs"", "Dumbbells,Machine"
Glute Bridge,""Legs"","Band, Dumbbells"
Donkey Kick,""Legs"","Dumbbells, Band, Body Weight"
Weighted Punches,""Core"", "Dumbbells"
Wall Ball,""Full Body"", "Medicine Ball"
Step Up Lunges,""Legs"","Platform, Dumbbells"
Standing Oblique Crunch,""Core"", "Dumbbells"
Squat Jump,""Legs"", "Body Weight"
Lateral Band Walk,""Legs"", "Band"
Standing Glute Kickbacks,""Legs"", "Band"
Squat to Lateral Leg Lift,""Legs"", "Band"
Standing Leg Lift,""Legs"", "Cable, Band"
Fire Hydrant,""Legs"","Band, Body Weight"
Single Leg Hip Bridge,""Legs"", "Body Weight, Dumbbells, Bosu Ball"
Side Arm / Lateral Raise,""Arms"", "Dumbbells"
Touchdown,""Full Body"", "Body Weight"
Literally Just Jumping,""Full Body"", "Body Weight"
Broad Jump,""Legs"", "Body Weight"
Skaters,""Legs"", "Body Weight"
Box Toe Touch,""Legs"", "Platform"
Pushup,""Arms"", "Body Weight"
Plank Row,""Full Body", "Back"", "Dumbbells"
Skull Crusher,""Arms"", "Dumbbells, Bar"
Close to Wide Grip Burnout,""Arms"", "Dumbbells"
Tricep Overhead Press,""Arms"", "Dumbbells"
Weighted Jumping Jacks,""Full Body"", "Dumbbells"
Side Plank Dips,""Core"", "Body Weight"
Frogger,""Full Body"", "Body Weight"
Single Arm Clean and Press ,""Full Body", "Arms"", "Kettlebells, Dumbbells"
Bounds,""Full Body", "Legs"", "Body Weight"
Single Leg Squat,""Legs"", "Body Weight"
Spiderman Pushup,""Arms", "Core"", "Body Weight"
Mountain Climbers,""Core", "Full Body"", "Body Weight, Bosu Ball"
Crab Crawl,""Full Body"", "Body Weight"
Monkey Jump,""Full Body"", "Body Weight"
Skipping,""Full Body"", "Body Weight"
Compass Jump,""Full Body"", "Body Weight"
Glute Bridge March,""Legs"", "Band, Platform"
Pushup Walk,""Arms"", "Band"
Side Plank with Leg Lift,""Core"", "Band, Body Weight"
Leg Pull Apart,""Legs", "Back"", "Band"
Plank Jack,""Full Body", "Core"", "Band, Body Weight"
Jump Rope,""Full Body"", "Body Weight"
Heart Pump,""Arms"", "Kettlebells, Dumbbells"
Russian Twist,""Core"", "Kettlebells, Dumbbells"
Halo,""Arms"", "Kettlebells, Dumbbells"
Kettlebell Swing,""Full Body"", "Kettlebells, Dumbbells"
Shoulder Press,""Arms"", "Bar, Dumbbells"
Jump Lunges,""Legs"", "Body Weight"
Curtsey Lunges,""Legs"", "Dumbbells, Bar"
Step-Back Lunge,""Legs"","Bar, Body Weight, Dumbbells, Squat Rack"
Reverse Crunches,""Core"", "Body Weight"
Lying Leg Raises,""Core"", "Body Weight"
Bicycle Crunch,""Core"", "Body Weight"
Star Jump,""Full Body"", "Body Weight"
Jumping Jack Push Press,""Full Body"", "Medicine Ball"
Tuck Jump,""Full Body"", "Body Weight"
Squat Jumps 180,""Full Body"", "Body Weight"
